"player_id"; "player_name"; "pos"; "points"; "war"
12238; "Perryman, Denzel"; "LB"; 230; 0.99
12239; "Kendricks, Eric"; "LB"; 207; 0.82
12241; "Johnson, Alexander"; "LB"; 69; 0.08
12250; "Collins, Landon"; "DB"; 121; 0.15
12252; "Harris, Anthony"; "DB"; 97; 0.03
12257; "Conley, Chris"; "WR"; 20.7; -0.06
12263; "Waller, Darren"; "TE"; 129.3; 0.31
12274; "Tartt, Jaquiski"; "DB"; 40; -0.01
12275; "Rowe, Eric"; "DB"; 122; 0.18
12278; "Golden, Markus"; "LB"; 117; 0.17
12280; "Clark, Frank"; "DL"; 39; -0.09
12287; "Hicks, Jordan"; "LB"; 194; 0.73
12302; "Wilson, Damien"; "LB"; 129; 0.26
12305; "Jarrett, Grady"; "DL"; 73; 0.01
12308; "Amos, Adrian"; "DB"; 140; 0.29
12311; "McCain, Bobby"; "DB"; 9; -0.06
12317; "Uzomah, C.J."; "TE"; 98.1; 0.2
12330; "O'Shaughnessy, James"; "TE"; 6.7; -0.04
12349; "Diggs, Quandre"; "DB"; 155; 0.4
12381; "Siemian, Trevor"; "QB"; 72.86; 0.05
12386; "Brown, Malcolm"; "RB"; 22.5; -0.09
12391; "Williams, Tyrell"; "WR"; 3.4; -0.05
12394; "Carter, DeAndre"; "WR"; 27.08; -0.01
12437; "Myers, Jason"; "PK"; 57.9; -0.16
12447; "Mostert, Raheem"; "RB"; 2; -0.06
12476; "Heinicke, Taylor"; "QB"; 208.06; 0.16
12610; "Wentz, Carson"; "QB"; 221.62; 0.27
12611; "Goff, Jared"; "QB"; 157.74; -0.07
12620; "Prescott, Dak"; "QB"; 225.9; 0.29
12625; "Elliott, Ezekiel"; "RB"; 196.66; 0.82
12626; "Henry, Derrick"; "RB"; 193.3; 0.5
12628; "Collins, Alex"; "RB"; 67.1; -0.01
12629; "Booker, Devontae"; "RB"; 101.7; 0.13
12630; "Drake, Kenyan"; "RB"; 108.26; 0.18
12634; "Howard, Jordan"; "RB"; 45.4; 0.08
12650; "Boyd, Tyler"; "WR"; 121.84; 0.23
12658; "Shepard, Sterling"; "WR"; 69.5; 0.12
12676; "Henry, Hunter"; "TE"; 116.4; 0.53
12677; "Hooper, Austin"; "TE"; 68.1; -0.02
12678; "Higbee, Tyler"; "TE"; 101.5; 0.22
12686; "Bosa, Joey"; "DL"; 106; 0.25
12687; "Lawson, Shaq"; "DL"; 46; -0.19
12688; "Buckner, DeForest"; "DL"; 108; 0.4
12691; "Ogbah, Emmanuel"; "DL"; 92; 0.19
12701; "Smith, Jaylon"; "LB"; 33; -0.05
12702; "Jack, Myles"; "LB"; 127; 0.22
12703; "Ragland, Reggie"; "LB"; 101; 0.06
12711; "Ramsey, Jalen"; "DB"; 127; 0.18
12714; "Fuller, Kendall"; "DB"; 69; 0.01
12718; "Bell, Vonn"; "DB"; 137; 0.27
12720; "Kearse, Jayron"; "DB"; 113; 0.17
12734; "Floyd, Leonard"; "LB"; 109; 0.11
12736; "Neal, Keanu"; "LB"; 86; 0.04
12739; "Clark, Kenny"; "DL"; 79; 0.05
12741; "Jones, Chris"; "DL"; 73; 0.06
12745; "Jones, Deion"; "LB"; 180; 0.5
12752; "Byard, Kevin"; "DB"; 172; 0.52
12753; "Nassib, Carl"; "DL"; 42; -0.13
12756; "Ngakoue, Yannick"; "DL"; 82; 0.07
12762; "Vigil, Nick"; "LB"; 121; 0.2
12764; "Hargrave, Javon"; "DL"; 83; 0.09
12767; "Simmons, Justin"; "DB"; 140; 0.29
12768; "Schobert, Joe"; "LB"; 151; 0.42
12772; "Murray, Eric"; "DB"; 16; -0.01
12778; "Kwiatkoski, Nick"; "LB"; 27.3; -0.07
12779; "Campbell, De'Vondre"; "LB"; 195; 0.74
12788; "Martinez, Blake"; "LB"; 34; 0.06
12795; "Judon, Matt"; "LB"; 104; 0.11
12801; "Hill, Tyreek"; "WR"; 237.8; 1.08
12817; "Brown, Anthony"; "DB"; 94; 0.1
12828; "Grugier-Hill, Kamu"; "LB"; 142; 0.28
12831; "Roberts, Elandon"; "LB"; 75; 0.02
12910; "Harris, Erik"; "DB"; 121; 0.15
12930; "Anderson, Robby"; "WR"; 76.1; -0.09
12934; "Rogers, Chester"; "WR"; 44.13; -0.08
12948; "Okwara, Romeo"; "DL"; 13; -0.05
12985; "Littleton, Cory"; "LB"; 153; 0.43
13066; "Raymond, Kalif"; "WR"; 51.45; -0.03
13108; "McKissic, J.D."; "RB"; 127.9; 0.27
13116; "Mahomes, Patrick"; "QB"; 257.36; 0.52
13128; "Cook, Dalvin"; "RB"; 148.5; 0.33
13129; "Fournette, Leonard"; "RB"; 218.7; 0.98
13130; "McCaffrey, Christian"; "RB"; 127.5; 0.28
13131; "Mixon, Joe"; "RB"; 226; 1.04
13132; "Kamara, Alvin"; "RB"; 159.45; 0.38
13133; "Perine, Samaje"; "RB"; 64.6; -0.05
